Departamento;Municipio;División;Personas en hogares particulares;Sin servicio de energía eléctrica;No tiene;Estrato 1;Estrato 2;Estrato 3;Estrato 4;Estrato 5;Estrato 6;No sabe o no responde
05_Antioquia;;Cabecera;62.102;69;101;2.034;37.845;21.435;253;155;162;48
05_Antioquia;;Centro poblado;968;17;0;98;829;20;0;0;0;4
05_Antioquia;;Rural disperso;13.008;116;85;1.698;8.919;1.199;597;240;139;15
05_Antioquia;05234_Dabeiba;Total;22.678;4.030;103;13.008;3.487;2.019;21;0;0;10
05_Antioquia;;Cabecera;8.839;415;20;3.151;3.231;2.008;8;0;0;6
05_Antioquia;;Centro poblado;697;13;4;566;105;5;4;0;0;0
05_Antioquia;;Rural disperso;13.142;3.602;79;9.291;151;6;9;0;0;4
05_Antioquia;05237_Donmatías;Total;14.163;8;11;632;10.410;2.929;147;12;0;14
05_Antioquia;;Cabecera;11.025;1;10;62;7.986;2.810;137;5;0;14
05_Antioquia;;Centro poblado;268;1;0;82;177;8;0;0;0;0
05_Antioquia;;Rural disperso;2.870;6;1;488;2.247;111;10;7;0;0
05_Antioquia;05240_Ebéjico;Total;10.323;166;10;6.352;3.001;659;40;55;25;15
05_Antioquia;;Cabecera;1.819;18;2;270;1.116;407;3;0;0;3
05_Antioquia;;Centro poblado;1.241;8;0;375;792;64;0;0;0;2
05_Antioquia;;Rural disperso;7.263;140;8;5.707;1.093;188;37;55;25;10
05_Antioquia;05250_El Bagre;Total;47.549;1.942;264;35.644;8.030;679;19;4;2;965
05_Antioquia;;Cabecera;29.495;777;158;19.173;7.742;675;9;1;1;959
05_Antioquia;;Centro poblado;9.511;84;36;9.134;241;3;4;3;1;5
05_Antioquia;;Rural disperso;8.543;1.081;70;7.337;47;1;6;0;0;1
05_Antioquia;05264_Entrerríos;Total;8.779;9;13;342;2.689;4.853;798;35;37;3
05_Antioquia;;Cabecera;5.088;0;8;21;597;3.808;638;7;6;3
05_Antioquia;;Rural disperso;3.691;9;5;321;2.092;1.045;160;28;31;0
05_Antioquia;05266_Envigado;Total;211.558;285;142;1.305;48.041;74.147;37.595;45.165;4.484;394
05_Antioquia;;Cabecera;201.876;225;97;1.001;43.942;73.300;36.496;43.203;3.338;274
05_Antioquia;;Centro poblado;1.732;0;10;1;426;90;210;524;441;30
05_Antioquia;;Rural disperso;7.950;60;35;303;3.673;757;889;1.438;705;90
05_Antioquia;05282_Fredonia;Total;18.744;162;8;6.742;7.550;3.891;143;188;46;14
